,aten::zeros0,aten::empty1,aten::zero_2,DistributedDataParallel.forward3,aten::empty4,aten::conv2d5,aten::convolution6,aten::_convolution7,aten::cudnn_convolution8,aten::resize_9,aten::resize_10,aten::empty11,aten::reshape12,aten::_reshape_alias13,aten::add_14,aten::relu_15,aten::clamp_min_16,aten::clamp_min17,aten::conv2d18,aten::convolution19,aten::_convolution20,aten::cudnn_convolution21,aten::resize_22,aten::resize_23,aten::empty24,aten::reshape25,aten::_reshape_alias26,aten::add_27,aten::relu_28,aten::clamp_min_29,aten::clamp_min30,aten::max_pool2d31,aten::max_pool2d_with_indices32,aten::conv2d33,aten::convolution34,aten::_convolution35,aten::cudnn_convolution36,aten::resize_37,aten::resize_38,aten::empty39,aten::reshape40,aten::_reshape_alias41,aten::add_42,aten::relu_43,aten::clamp_min_44,aten::clamp_min45,aten::conv2d46,aten::convolution47,aten::_convolution48,aten::cudnn_convolution49,aten::resize_50,aten::resize_51,aten::empty52,aten::reshape53,aten::_reshape_alias54,aten::add_55,aten::relu_56,aten::clamp_min_57,aten::clamp_min58,aten::max_pool2d59,aten::max_pool2d_with_indices60,aten::conv2d61,aten::convolution62,aten::_convolution63,aten::cudnn_convolution64,aten::resize_65,aten::resize_66,aten::empty67,aten::reshape68,aten::_reshape_alias69,aten::add_70,aten::relu_71,aten::clamp_min_72,aten::clamp_min73,aten::conv2d74,aten::convolution75,aten::_convolution76,aten::cudnn_convolution77,aten::resize_78,aten::resize_79,aten::empty80,aten::reshape81,aten::_reshape_alias82,aten::add_83,aten::relu_84,aten::clamp_min_85,aten::clamp_min86,aten::conv2d87,aten::convolution88,aten::_convolution89,aten::cudnn_convolution90,aten::resize_91,aten::resize_92,aten::empty93,aten::reshape94,aten::_reshape_alias95,aten::add_96,aten::relu_97,aten::clamp_min_98,aten::clamp_min99,aten::max_pool2d100,aten::max_pool2d_with_indices101,aten::conv2d102,aten::convolution103,aten::_convolution104,aten::cudnn_convolution105,aten::resize_106,aten::resize_107,aten::empty108,aten::reshape109,aten::_reshape_alias110,aten::add_111,aten::relu_112,aten::clamp_min_113,aten::clamp_min114,aten::conv2d115,aten::convolution116,aten::_convolution117,aten::cudnn_convolution118,aten::resize_119,aten::resize_120,aten::empty121,aten::reshape122,aten::_reshape_alias123,aten::add_124,aten::relu_125,aten::clamp_min_126,aten::clamp_min127,aten::conv2d128,aten::convolution129,aten::_convolution130,aten::cudnn_convolution131,aten::resize_132,aten::resize_133,aten::empty134,aten::reshape135,aten::_reshape_alias136,aten::add_137,aten::relu_138,aten::clamp_min_139,aten::clamp_min140,aten::max_pool2d141,aten::max_pool2d_with_indices142,aten::conv2d143,aten::convolution144,aten::_convolution145,aten::cudnn_convolution146,aten::resize_147,aten::resize_148,aten::empty149,aten::reshape150,aten::_reshape_alias151,aten::add_152,aten::relu_153,aten::clamp_min_154,aten::clamp_min155,aten::conv2d156,aten::convolution157,aten::_convolution158,aten::cudnn_convolution159,aten::resize_160,aten::resize_161,aten::empty162,aten::reshape163,aten::_reshape_alias164,aten::add_165,aten::relu_166,aten::clamp_min_167,aten::clamp_min168,aten::conv2d169,aten::convolution170,aten::_convolution171,aten::cudnn_convolution172,aten::resize_173,aten::resize_174,aten::empty175,aten::reshape176,aten::_reshape_alias177,aten::add_178,aten::relu_179,aten::clamp_min_180,aten::clamp_min181,aten::max_pool2d182,aten::max_pool2d_with_indices183,aten::adaptive_avg_pool2d184,aten::_adaptive_avg_pool2d185,aten::empty186,aten::resize_187,aten::flatten188,aten::_reshape_alias189,aten::linear190,aten::t191,aten::transpose192,aten::as_strided193,aten::addmm194,aten::expand195,aten::as_strided196,aten::relu_197,aten::clamp_min_198,aten::clamp_min199,aten::dropout200,aten::_fused_dropout201,aten::empty_like202,aten::empty_strided203,aten::empty_like204,aten::empty_strided205,aten::linear206,aten::t207,aten::transpose208,aten::as_strided209,aten::addmm210,aten::expand211,aten::as_strided212,aten::relu_213,aten::clamp_min_214,aten::clamp_min215,aten::dropout216,aten::_fused_dropout217,aten::empty_like218,aten::empty_strided219,aten::empty_like220,aten::empty_strided221,aten::linear222,aten::t223,aten::transpose224,aten::as_strided225,aten::addmm226,aten::expand227,aten::as_strided228,autograd::engine::evaluate_function: AddmmBackward0229,AddmmBackward0230,aten::t231,aten::transpose232,aten::as_strided233,aten::mm234,aten::t235,aten::transpose236,aten::as_strided237,aten::mm238,aten::t239,aten::transpose240,aten::as_strided241,aten::sum242,aten::view243,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad244,torch::autograd::AccumulateGrad245,aten::add_246,aten::mul247,autograd::engine::evaluate_function: TBackward0248,TBackward0249,aten::t250,aten::transpose251,aten::as_strided252,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad253,torch::autograd::AccumulateGrad254,aten::add_255,aten::mul256,record_param_comms257,autograd::engine::evaluate_function: FusedDropoutBackward0258,FusedDropoutBackward0259,aten::_masked_scale260,aten::empty_like261,aten::empty262,autograd::engine::evaluate_function: ReluBackward0263,ReluBackward0264,aten::threshold_backward265,autograd::engine::evaluate_function: AddmmBackward0266,AddmmBackward0267,aten::t268,aten::transpose269,aten::as_strided270,aten::mm271,aten::t272,aten::transpose273,aten::as_strided274,aten::mm275,aten::t276,aten::transpose277,aten::as_strided278,aten::sum279,aten::view280,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad281,torch::autograd::AccumulateGrad282,aten::add_283,aten::mul284,autograd::engine::evaluate_function: TBackward0285,TBackward0286,aten::t287,aten::transpose288,aten::as_strided289,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad290,torch::autograd::AccumulateGrad291,aten::add_292,aten::mul293,record_param_comms294,autograd::engine::evaluate_function: FusedDropoutBackward0295,FusedDropoutBackward0296,aten::_masked_scale297,aten::empty_like298,aten::empty299,autograd::engine::evaluate_function: ReluBackward0300,ReluBackward0301,aten::threshold_backward302,autograd::engine::evaluate_function: AddmmBackward0303,AddmmBackward0304,aten::t305,aten::transpose306,aten::as_strided307,aten::mm308,aten::t309,aten::transpose310,aten::as_strided311,aten::mm312,aten::t313,aten::transpose314,aten::as_strided315,aten::sum316,aten::view317,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad318,torch::autograd::AccumulateGrad319,aten::add_320,aten::mul321,autograd::engine::evaluate_function: TBackward0322,TBackward0323,aten::t324,aten::transpose325,aten::as_strided326,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad327,torch::autograd::AccumulateGrad328,aten::add_329,aten::mul330,record_param_comms331,autograd::engine::evaluate_function: ReshapeAliasBackward0332,ReshapeAliasBackward0333,aten::reshape334,aten::_reshape_alias335,autograd::engine::evaluate_function: AdaptiveAvgPool2DBackward0336,AdaptiveAvgPool2DBackward0337,aten::_adaptive_avg_pool2d_backward338,aten::zeros_like339,aten::empty_like340,aten::empty341,aten::zero_342,aten::fill_343,autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0344,MaxPool2DWithIndicesBackward0345,aten::max_pool2d_with_indices_backward346,aten::zero_347,aten::fill_348,autograd::engine::evaluate_function: ReluBackward0349,ReluBackward0350,aten::threshold_backward351,autograd::engine::evaluate_function: AddBackward0352,AddBackward0353,aten::sum354,autograd::engine::evaluate_function: ReshapeAliasBackward0355,ReshapeAliasBackward0356,aten::reshape357,aten::_reshape_alias358,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad359,torch::autograd::AccumulateGrad360,aten::add_361,aten::mul362,autograd::engine::evaluate_function: CudnnConvolutionBackward0363,CudnnConvolutionBackward0364,aten::cudnn_convolution_backward365,aten::cudnn_convolution_backward_input366,aten::resize_367,aten::resize_368,aten::empty369,aten::cudnn_convolution_backward_weight370,aten::resize_371,aten::resize_372,aten::empty373,aten::empty374,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad375,torch::autograd::AccumulateGrad376,aten::add_377,aten::mul378,autograd::engine::evaluate_function: ReluBackward0379,ReluBackward0380,aten::threshold_backward381,autograd::engine::evaluate_function: AddBackward0382,AddBackward0383,aten::sum384,autograd::engine::evaluate_function: ReshapeAliasBackward0385,ReshapeAliasBackward0386,aten::reshape387,aten::_reshape_alias388,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad389,torch::autograd::AccumulateGrad390,aten::add_391,aten::mul392,autograd::engine::evaluate_function: CudnnConvolutionBackward0393,CudnnConvolutionBackward0394,aten::cudnn_convolution_backward395,aten::cudnn_convolution_backward_input396,aten::resize_397,aten::resize_398,aten::empty399,aten::cudnn_convolution_backward_weight400,aten::resize_401,aten::resize_402,aten::empty403,aten::empty404,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad405,torch::autograd::AccumulateGrad406,aten::add_407,aten::mul408,autograd::engine::evaluate_function: ReluBackward0409,ReluBackward0410,aten::threshold_backward411,autograd::engine::evaluate_function: AddBackward0412,AddBackward0413,aten::sum414,autograd::engine::evaluate_function: ReshapeAliasBackward0415,ReshapeAliasBackward0416,aten::reshape417,aten::_reshape_alias418,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad419,torch::autograd::AccumulateGrad420,aten::add_421,aten::mul422,autograd::engine::evaluate_function: CudnnConvolutionBackward0423,CudnnConvolutionBackward0424,aten::cudnn_convolution_backward425,aten::cudnn_convolution_backward_input426,aten::resize_427,aten::resize_428,aten::empty429,aten::cudnn_convolution_backward_weight430,aten::resize_431,aten::resize_432,aten::empty433,aten::empty434,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad435,torch::autograd::AccumulateGrad436,aten::add_437,aten::mul438,record_param_comms439,autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0440,MaxPool2DWithIndicesBackward0441,aten::max_pool2d_with_indices_backward442,aten::zero_443,aten::fill_444,autograd::engine::evaluate_function: ReluBackward0445,ReluBackward0446,aten::threshold_backward447,autograd::engine::evaluate_function: AddBackward0448,AddBackward0449,aten::sum450,autograd::engine::evaluate_function: ReshapeAliasBackward0451,ReshapeAliasBackward0452,aten::reshape453,aten::_reshape_alias454,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad455,torch::autograd::AccumulateGrad456,aten::add_457,aten::mul458,autograd::engine::evaluate_function: CudnnConvolutionBackward0459,CudnnConvolutionBackward0460,aten::cudnn_convolution_backward461,aten::cudnn_convolution_backward_input462,aten::resize_463,aten::resize_464,aten::empty465,aten::cudnn_convolution_backward_weight466,aten::resize_467,aten::resize_468,aten::empty469,aten::empty470,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad471,torch::autograd::AccumulateGrad472,aten::add_473,aten::mul474,autograd::engine::evaluate_function: ReluBackward0475,ReluBackward0476,aten::threshold_backward477,autograd::engine::evaluate_function: AddBackward0478,AddBackward0479,aten::sum480,autograd::engine::evaluate_function: ReshapeAliasBackward0481,ReshapeAliasBackward0482,aten::reshape483,aten::_reshape_alias484,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad485,torch::autograd::AccumulateGrad486,aten::add_487,aten::mul488,autograd::engine::evaluate_function: CudnnConvolutionBackward0489,CudnnConvolutionBackward0490,aten::cudnn_convolution_backward491,aten::cudnn_convolution_backward_input492,aten::resize_493,aten::resize_494,aten::empty495,aten::cudnn_convolution_backward_weight496,aten::resize_497,aten::resize_498,aten::empty499,aten::empty500,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad501,torch::autograd::AccumulateGrad502,aten::add_503,aten::mul504,autograd::engine::evaluate_function: ReluBackward0505,ReluBackward0506,aten::threshold_backward507,autograd::engine::evaluate_function: AddBackward0508,AddBackward0509,aten::sum510,autograd::engine::evaluate_function: ReshapeAliasBackward0511,ReshapeAliasBackward0512,aten::reshape513,aten::_reshape_alias514,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad515,torch::autograd::AccumulateGrad516,aten::add_517,aten::mul518,autograd::engine::evaluate_function: CudnnConvolutionBackward0519,CudnnConvolutionBackward0520,aten::cudnn_convolution_backward521,aten::cudnn_convolution_backward_input522,aten::resize_523,aten::resize_524,aten::empty525,aten::cudnn_convolution_backward_weight526,aten::resize_527,aten::resize_528,aten::empty529,aten::empty530,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad531,torch::autograd::AccumulateGrad532,aten::add_533,aten::mul534,autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0535,MaxPool2DWithIndicesBackward0536,aten::max_pool2d_with_indices_backward537,aten::zero_538,aten::fill_539,autograd::engine::evaluate_function: ReluBackward0540,ReluBackward0541,aten::threshold_backward542,autograd::engine::evaluate_function: AddBackward0543,AddBackward0544,aten::sum545,autograd::engine::evaluate_function: ReshapeAliasBackward0546,ReshapeAliasBackward0547,aten::reshape548,aten::_reshape_alias549,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad550,torch::autograd::AccumulateGrad551,aten::add_552,aten::mul553,autograd::engine::evaluate_function: CudnnConvolutionBackward0554,CudnnConvolutionBackward0555,aten::cudnn_convolution_backward556,aten::cudnn_convolution_backward_input557,aten::resize_558,aten::resize_559,aten::empty560,aten::cudnn_convolution_backward_weight561,aten::resize_562,aten::resize_563,aten::empty564,aten::empty565,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad566,torch::autograd::AccumulateGrad567,aten::add_568,aten::mul569,autograd::engine::evaluate_function: ReluBackward0570,ReluBackward0571,aten::threshold_backward572,autograd::engine::evaluate_function: AddBackward0573,AddBackward0574,aten::sum575,autograd::engine::evaluate_function: ReshapeAliasBackward0576,ReshapeAliasBackward0577,aten::reshape578,aten::_reshape_alias579,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad580,torch::autograd::AccumulateGrad581,aten::add_582,aten::mul583,autograd::engine::evaluate_function: CudnnConvolutionBackward0584,CudnnConvolutionBackward0585,aten::cudnn_convolution_backward586,aten::cudnn_convolution_backward_input587,aten::resize_588,aten::resize_589,aten::empty590,aten::cudnn_convolution_backward_weight591,aten::resize_592,aten::resize_593,aten::empty594,aten::empty595,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad596,torch::autograd::AccumulateGrad597,aten::add_598,aten::mul599,record_param_comms600,autograd::engine::evaluate_function: ReluBackward0601,ReluBackward0602,aten::threshold_backward603,autograd::engine::evaluate_function: AddBackward0604,AddBackward0605,aten::sum606,autograd::engine::evaluate_function: ReshapeAliasBackward0607,ReshapeAliasBackward0608,aten::reshape609,aten::_reshape_alias610,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad611,torch::autograd::AccumulateGrad612,aten::add_613,aten::mul614,autograd::engine::evaluate_function: CudnnConvolutionBackward0615,CudnnConvolutionBackward0616,aten::cudnn_convolution_backward617,aten::cudnn_convolution_backward_input618,aten::resize_619,aten::resize_620,aten::empty621,aten::cudnn_convolution_backward_weight622,aten::resize_623,aten::resize_624,aten::empty625,aten::empty626,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad627,torch::autograd::AccumulateGrad628,aten::add_629,aten::mul630,autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0631,MaxPool2DWithIndicesBackward0632,aten::max_pool2d_with_indices_backward633,aten::zero_634,aten::fill_635,autograd::engine::evaluate_function: ReluBackward0636,ReluBackward0637,aten::threshold_backward638,autograd::engine::evaluate_function: AddBackward0639,AddBackward0640,aten::sum641,autograd::engine::evaluate_function: ReshapeAliasBackward0642,ReshapeAliasBackward0643,aten::reshape644,aten::_reshape_alias645,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad646,torch::autograd::AccumulateGrad647,aten::add_648,aten::mul649,autograd::engine::evaluate_function: CudnnConvolutionBackward0650,CudnnConvolutionBackward0651,aten::cudnn_convolution_backward652,aten::cudnn_convolution_backward_input653,aten::resize_654,aten::resize_655,aten::empty656,aten::cudnn_convolution_backward_weight657,aten::resize_658,aten::resize_659,aten::empty660,aten::empty661,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad662,torch::autograd::AccumulateGrad663,aten::add_664,aten::mul665,autograd::engine::evaluate_function: ReluBackward0666,ReluBackward0667,aten::threshold_backward668,autograd::engine::evaluate_function: AddBackward0669,AddBackward0670,aten::sum671,autograd::engine::evaluate_function: ReshapeAliasBackward0672,ReshapeAliasBackward0673,aten::reshape674,aten::_reshape_alias675,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad676,torch::autograd::AccumulateGrad677,aten::add_678,aten::mul679,autograd::engine::evaluate_function: CudnnConvolutionBackward0680,CudnnConvolutionBackward0681,aten::cudnn_convolution_backward682,aten::cudnn_convolution_backward_input683,aten::resize_684,aten::resize_685,aten::empty686,aten::cudnn_convolution_backward_weight687,aten::resize_688,aten::resize_689,aten::empty690,aten::empty691,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad692,torch::autograd::AccumulateGrad693,aten::add_694,aten::mul695,autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0696,MaxPool2DWithIndicesBackward0697,aten::max_pool2d_with_indices_backward698,aten::zero_699,aten::fill_700,autograd::engine::evaluate_function: ReluBackward0701,ReluBackward0702,aten::threshold_backward703,autograd::engine::evaluate_function: AddBackward0704,AddBackward0705,aten::sum706,autograd::engine::evaluate_function: ReshapeAliasBackward0707,ReshapeAliasBackward0708,aten::reshape709,aten::_reshape_alias710,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad711,torch::autograd::AccumulateGrad712,aten::add_713,aten::mul714,autograd::engine::evaluate_function: CudnnConvolutionBackward0715,CudnnConvolutionBackward0716,aten::cudnn_convolution_backward717,aten::cudnn_convolution_backward_input718,aten::resize_719,aten::resize_720,aten::empty721,aten::cudnn_convolution_backward_weight722,aten::resize_723,aten::resize_724,aten::empty725,aten::empty726,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad727,torch::autograd::AccumulateGrad728,aten::add_729,aten::mul730,autograd::engine::evaluate_function: ReluBackward0731,ReluBackward0732,aten::threshold_backward733,autograd::engine::evaluate_function: AddBackward0734,AddBackward0735,aten::sum736,autograd::engine::evaluate_function: ReshapeAliasBackward0737,ReshapeAliasBackward0738,aten::reshape739,aten::_reshape_alias740,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad741,torch::autograd::AccumulateGrad742,aten::add_743,aten::mul744,autograd::engine::evaluate_function: CudnnConvolutionBackward0745,CudnnConvolutionBackward0746,aten::cudnn_convolution_backward747,aten::cudnn_convolution_backward_weight748,aten::resize_749,aten::resize_750,aten::empty751,aten::empty752,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad753,torch::autograd::AccumulateGrad754,aten::add_755,aten::mul756,record_param_comms757,aten::as_strided758,aten::as_strided759,aten::copy_760,aten::copy_761,aten::as_strided762,aten::as_strided763,aten::copy_764,aten::copy_765,aten::as_strided766,aten::as_strided767,aten::copy_768,aten::copy_769,aten::as_strided770,aten::as_strided771,aten::as_strided772,aten::as_strided773,aten::as_strided774,aten::as_strided775,aten::copy_776,aten::copy_777,aten::copy_778,aten::copy_779,aten::copy_780,aten::copy_781,aten::as_strided782,aten::as_strided783,aten::as_strided784,aten::as_strided785,aten::as_strided786,aten::as_strided787,aten::as_strided788,aten::as_strided789,aten::as_strided790,aten::as_strided791,aten::copy_792,aten::copy_793,aten::copy_794,aten::copy_795,aten::copy_796,aten::copy_797,aten::copy_798,aten::copy_799,aten::copy_800,aten::copy_801,aten::as_strided802,aten::as_strided803,aten::as_strided804,aten::as_strided805,aten::as_strided806,aten::as_strided807,aten::as_strided808,aten::as_strided809,aten::as_strided810,aten::as_strided811,aten::copy_812,aten::copy_813,aten::copy_814,aten::copy_815,aten::copy_816,aten::copy_817,aten::copy_818,aten::copy_819,aten::copy_820,aten::copy_821,average_step_time
0,10,3,4,142,2,5,6,13,770,2,2,2,8,2,1022,5,6,1015,5,6,11,5298,2,2,2,6,3,1010,6,6,1015,5,923,5,5,14,2535,2,3,2,5,2,518,5,6,516,5,5,11,4423,2,2,2,5,2,510,5,6,510,6,465,5,5,13,1995,2,2,2,6,2,267,5,5,267,5,5,12,3408,2,2,2,5,2,267,5,5,262,5,5,12,3399,2,2,2,5,2,265,6,5,259,6,234,6,6,10,1651,2,2,2,8,2,138,5,7,135,7,6,15,2917,2,2,2,5,2,135,5,8,135,6,5,14,2924,2,2,2,5,4,143,5,5,134,8,134,6,7,12,1052,2,2,2,6,4,41,8,5,42,7,6,11,1041,2,2,2,7,3,43,5,8,43,6,6,15,1053,3,2,3,8,2,43,6,5,49,6,43,5,122,2,2,6,2,10,5,5,3,796,5,2,5,8,17,6,22,6,2,5,3,9,6,5,2,167,5,2,5,8,15,9,21,5,2,5,2,9,5,6,2,90,5,3,12,18,6,5,2,69,5,6,2,42,5,6,2,22,2,10,5,16,17,6,5,5,6,2,11,6,71,54,6,52,34,21,5,2,53,21,25,25,32,16,17,7,280,8,10,3,130,6,6,2,77,3,51,6,15,27,7,6,7,7,3,25,40,342,256,6,7,33,56,7,4,6,6,18,20,59,41,42,3,919,9,8,3,695,8,47,40,84,3,9,6,15,15,9,8,5,6,3,120,36,1504,1113,82,72,76,84,41,40,26,97,11,6,3,8,16,30,9,110,6,35,80,66,70,122,43,210,33,42,80,38,11,8,17,23,6,7,52,1228,3,2,3,1350,3,3,3,3,55,51,106,66,11,52,146,31,7,165,48,36,16,5,103,20,21,103,10,42,81,1384,3,3,3,1239,4,3,4,4,54,7,58,103,21,7,63,24,3,169,6,9,8,3,11,7,20,15,6,17,85,1224,3,3,5,1245,3,3,3,3,53,17,60,117,7,43,44,376,46,148,67,56,301,103,56,155,38,16,9,3,18,30,57,16,46,44,87,3183,3,2,2,3208,40,38,43,2,12,6,57,41,46,42,267,15,4,96,40,38,14,8,44,13,20,17,9,8,26,3181,3,3,3,3346,28,3,3,5,51,43,70,89,43,46,273,123,38,196,6,5,8,5,11,8,14,13,6,7,60,1764,3,3,3,2059,31,13,3,3,10,9,32,24,8,8,675,6,198,41,43,437,84,34,205,8,12,8,5,15,11,23,18,7,11,41,3544,4,5,4,3634,4,3,3,3,16,9,16,15,47,50,433,117,43,251,38,9,8,6,50,34,68,23,8,7,49,3562,4,3,3,3726,33,3,2,3,42,74,73,21,8,79,78,455,122,40,232,40,41,62,35,15,10,19,24,48,45,84,2050,3,5,4,2103,39,35,3,3,22,16,23,22,11,13,1115,20,346,51,43,834,83,39,385,7,7,8,3,19,7,17,16,54,50,78,4563,3,3,3,7517,42,41,38,35,43,25,32,33,70,80,842,117,40,383,80,85,78,38,52,57,93,17,7,7,40,2620,3,3,4,4672,40,13,3,4,13,8,20,18,8,10,2200,10,640,49,44,1536,120,45,728,38,24,14,3,48,7,18,27,9,7,14,5528,3,3,3,13122,14,16,5,3,13,13,18,21,51,43,1529,124,34,737,86,73,82,40,20,13,23,23,49,44,46,1825,3,3,10,43,128,85,77,86,15,4,3,18,122,21,3,19,218,4,3,19,1227,3,3,3,3,3,3,18,169,53,56,23,53,5,5,4,4,4,3,4,4,4,4,22,44,11,40,10,26,11,17,6,15,3,3,3,3,2,3,2,2,3,3,5,5,5,5,5,5,4,4,5,4,165.438
1,13,2,2,146,4,6,6,11,757,2,2,2,5,4,1011,5,5,1009,7,5,14,5313,3,3,2,8,2,1016,5,8,1008,6,919,9,7,12,2530,2,2,2,7,4,516,7,5,508,8,7,13,4424,2,2,2,7,2,514,7,8,506,8,457,6,8,13,2008,2,2,2,5,2,270,5,7,263,7,6,14,3396,2,2,2,7,2,268,6,6,269,6,5,11,3404,2,2,2,5,2,269,5,5,267,6,234,5,6,12,1651,3,2,2,5,2,138,5,6,133,6,5,12,2926,2,2,2,5,2,137,5,5,142,5,6,13,2926,2,2,3,5,2,140,6,6,138,9,128,6,6,13,1057,2,2,2,6,2,38,6,7,40,6,8,12,1049,2,2,2,9,2,40,7,6,41,7,5,14,1048,2,2,2,6,2,40,5,6,47,6,44,5,133,3,3,6,2,11,5,5,2,792,5,2,6,6,13,5,21,5,2,5,2,9,5,5,2,164,5,2,7,6,14,5,21,5,2,5,2,10,5,5,2,83,5,2,13,21,6,5,2,72,5,5,2,50,5,5,2,24,2,10,6,18,16,5,5,5,6,2,12,8,69,52,6,51,37,20,6,2,89,93,118,13,84,47,15,3,214,22,7,3,139,5,5,2,20,2,9,6,13,16,6,6,6,6,2,55,7,305,263,79,6,16,58,41,5,24,45,35,17,59,7,6,3,919,45,12,3,651,5,7,4,15,3,9,8,14,15,7,7,6,7,3,118,45,1535,1104,85,84,74,75,43,37,28,97,10,8,2,8,16,7,6,98,7,42,7,8,61,53,6,159,49,41,21,7,88,43,48,45,63,43,52,1205,5,5,4,1181,24,33,14,3,68,52,117,64,15,41,99,13,3,128,25,40,25,3,34,38,38,21,40,45,37,1173,3,4,30,1212,4,3,3,3,23,24,54,36,11,26,164,12,3,74,7,6,7,3,23,10,18,28,43,45,37,1136,3,3,3,1142,41,32,4,4,29,8,58,54,15,27,35,353,16,94,47,38,272,81,42,145,44,28,44,39,37,8,22,63,55,22,18,3230,3,3,3,3199,2,3,2,6,37,41,72,46,46,50,280,75,37,109,11,8,8,3,23,27,40,15,7,6,47,2992,3,4,3,3332,44,24,2,5,19,11,58,41,24,24,225,42,26,114,50,51,46,11,10,10,20,19,9,7,17,1767,4,3,3,1774,12,2,3,3,50,44,51,70,8,10,638,45,238,48,46,463,134,45,339,53,44,8,3,36,9,18,17,15,18,42,3633,3,3,13,3822,3,3,2,2,33,8,20,20,79,81,504,83,27,185,7,7,7,4,25,43,34,21,9,7,51,3831,4,3,3,3780,3,3,3,3,25,9,23,16,6,76,93,561,141,40,327,97,93,100,44,99,89,178,23,9,11,54,2151,3,3,4,2197,32,36,38,3,13,10,19,21,8,8,1106,7,328,52,44,832,98,46,377,35,39,19,5,12,10,17,18,10,6,52,4679,4,3,4,7535,46,44,39,45,35,14,25,41,46,43,810,124,48,464,87,83,74,41,53,9,20,19,45,37,45,2770,3,4,3,4865,4,3,3,5,12,8,16,19,7,10,2239,9,643,51,46,1598,127,45,656,8,8,8,3,41,40,21,17,8,7,15,5642,4,3,3,13118,3,4,3,5,15,11,22,22,50,51,1598,126,46,749,82,80,79,14,51,38,30,22,7,8,9,1645,4,4,3,7,29,14,24,25,16,4,9,37,63,4,6,28,258,4,3,22,1207,46,49,38,8,3,3,13,40,28,57,28,89,4,4,5,5,3,4,4,4,4,4,29,44,12,36,10,22,11,18,6,13,2,2,3,2,3,3,3,2,3,3,5,6,5,5,5,5,4,4,4,4,165.298
